pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
BD-11 4672 c,BD-11 4672,1,Radial Velocity,2020,74.20000000,0.06000000,-0.08000000,0,0.300000,0.010000,-0.010000,0,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,0.0346000,-0.0346000,10.0300000,0.0300000,-0.0300000,6.8670000,0.0240000,-0.0240000,9.4851100,0.0005180,-0.0005180
BD-13 2130 b,BD-13 2130,1,Radial Velocity,2007,714.29999000,5.30000000,-5.30000000,0,1.660000,0.120000,-0.120000,0,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.2140000,41.2110000,-41.2110000,10.0380000,0.0090000,-0.0090000,7.1510000,0.0230000,-0.0230000,9.6997100,0.0003370,-0.0003370
BD-14 3065 b,BD-14 3065 A,1,Transit,2024,4.28897310,0.00000520,-0.00000520,0,0.065600,0.002600,-0.002600,0,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.4230000,16.5990000,-15.7290000,11.1000000,0.0130000,-0.0130000,9.9320000,0.0260000,-0.0260000,10.9100000,0.0016170,-0.0016170
BD-17 63 b,BD-17 63,1,Radial Velocity,2008,655.57000000,0.58000000,-0.58000000,0,,,,,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603000,0.0929000,-0.0924000,9.6200000,0.0300000,-0.0300000,6.9140000,0.0240000,-0.0240000,9.2011200,0.0005140,-0.0005140
BD-210397 b,BD-210397,1,Radial Velocity,2023,1891.00000000,56.00000000,-48.00000000,0,2.630000,0.060000,-0.050000,0,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000,9.8400000,0.0300000,-0.0300000,6.5040000,0.0180000,-0.0180000,9.2596200,0.0008260,-0.0008260
BD-210397 c,BD-210397,1,Radial Velocity,2023,6240.00000000,151.00000000,-156.00000000,0,5.900000,0.100000,-0.100000,0,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000,9.8400000,0.0300000,-0.0300000,6.5040000,0.0180000,-0.0180000,9.2596200,0.0008260,-0.0008260
CD Cet b,CD Cet,1,Radial Velocity,2020,2.29070000,0.00012000,-0.00012000,0,0.018500,0.001300,-0.001300,0,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.6071500,0.0065800,-0.0065800,13.9500000,0.2000000,-0.2000000,7.8330000,0.0240000,-0.0240000,12.1232000,0.0010500,-0.0010500
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,Imaging,2011,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,,,,,,,,,,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Imaging,2021,8040000.00000000,470000.00000000,-470000.00000000,0,200.000000,6.000000,-6.000000,0,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,,,,,,,14.5930000,0.0980000,-0.0980000,,,
CHXR 73 b,CHXR 73,1,Imaging,2006,,,,,210.000000,,,0,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.3740000,6.6470000,-6.2200000,,,,10.7030000,0.0230000,-0.0230000,17.2934000,0.0013960,-0.0013960
CI Tau c,CI Tau,1,Radial Velocity,2024,25.20000000,1.70000000,-1.80000000,0,0.170000,0.080000,-0.080000,0,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,157.9980000,1.1980000,-1.1800000,13.6420000,0.1720000,-0.1720000,7.7930000,0.0200000,-0.0200000,12.1454000,0.0118660,-0.0118660
COCONUTS-2 b,COCONUTS-2 A,1,Imaging,2021,402000000.00000000,470000000.00000000,-100000000.00000000,0,7506.000000,5205.000000,-2060.000000,0,07h49m12.22s,117.3009140,-76d42m09.71s,-76.7026960,10.8864000,0.0041000,-0.0042000,11.2980000,0.0270000,-0.0270000,6.5790000,0.0180000,-0.0180000,10.1460000,0.0015670,-0.0015670
CT Cha b,CT Cha,1,Imaging,2007,,,,,440.000000,,,0,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.7200000,0.7780000,-0.7710000,12.3350000,0.0690000,-0.0690000,8.6610000,0.0210000,-0.0210000,11.7733000,0.0047010,-0.0047010
CoRoT-1 b,CoRoT-1,1,Transit,2008,1.50895570,0.00000640,-0.00000640,0,,,,,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000,23.4910000,-23.4910000,13.6230000,0.1140000,-0.1140000,12.1490000,0.0270000,-0.0270000,13.4570000,0.0004770,-0.0004770
CoRoT-10 b,CoRoT-10,1,Transit,2010,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.3860000,3.9865000,-3.9865000,15.2930000,0.1370000,-0.1370000,11.7820000,0.0210000,-0.0210000,14.6645000,0.0003290,-0.0003290
CoRoT-11 b,CoRoT-11,1,Transit,2010,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000,24.9470000,-23.2090000,12.8970000,0.1140000,-0.1140000,11.2480000,0.0220000,-0.0220000,12.8410000,0.0003360,-0.0003360
CoRoT-12 b,CoRoT-12,1,Transit,2010,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.3700000,55.7450000,-55.7450000,15.5880000,0.1830000,-0.1830000,13.5570000,0.0420000,-0.0420000,15.3453000,0.0007700,-0.0007700
CoRoT-13 b,CoRoT-13,1,Transit,2010,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.9300000,62.1200000,-56.1500000,15.0050000,0.2970000,-0.2970000,13.3760000,0.0390000,-0.0390000,14.9147000,0.0005000,-0.0005000
CoRoT-14 b,CoRoT-14,1,Transit,2010,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6000000,173.0300000,-144.9000000,15.9320000,0.2060000,-0.2060000,13.8060000,0.0530000,-0.0530000,15.8116000,0.0007690,-0.0007690
CoRoT-16 b,CoRoT-16,1,Transit,2011,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.4090000,35.3440000,-32.2820000,16.0520000,0.2170000,-0.2170000,12.8470000,0.0370000,-0.0370000,15.6507000,0.0009980,-0.0009980
CoRoT-17 b,CoRoT-17,1,Transit,2011,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880,1176.1200000,57.1700000,-52.1900000,16.2900000,0.3200000,-0.3200000,12.4720000,0.0540000,-0.0540000,15.4368000,0.0005240,-0.0005240
